10320,-87.845
10320,-89.3312
11008,-88.3075
9804,-86.4187
10492,-91.8574
10836,-85.1628
10148,-84.0902
9116,-90.2774
10836,-86.289
10836,-87.5707
8944,-89.4006
10492,-85.6852
10836,-89.5068
11008,-83.8089
9632,-90.4971
9116,-85.3523
9460,-86.1035
10664,-84.4427
172,-72.6022
0,-67.4233
0,-54.0821
3440,-40.8581
344,-27.1556
516,-23.1762
516,-22.2291
516,-19.3338
516,-18.9621
516,-17.7499
516,-17.4842
516,-16.9579
516,-17.3246
516,-20.0906
516,-24.2298
344,-29.1739
344,-33.6557
344,-50.1257
344,-49.555
344,-42.6495
344,-57.4929
172,-52.5019
344,-42.7175
172,-39.5822
172,-42.707
172,-47.0434
1548,-52.7157
1376,-38.026
1204,-42.5652
344,-26.4675
516,-19.3826
516,-18.5463
516,-18.7157
344,-19.8127
516,-25.5209
4472,-31.422
9288,-27.8515
5332,-28.3999
9116,-26.068
6192,-27.8068
7740,-28.255
8256,-26.6235
7396,-22.0026
6708,-20.9512
7912,-21.9547
6364,-20.4595
5504,-25.6976
6536,-26.6813
4300,-40.101
344,-25.051
516,-22.1606
516,-22.1477
344,-23.1096
516,-28.1909
516,-35.0362
6192,-30.934
6536,-34.419
7740,-24.5588
7740,-25.1248
6192,-18.9146
7912,-19.9564
6708,-21.9356
7740,-19.9462
8084,-17.4171
7396,-16.9671
8256,-17.1119
7912,-14.0601
8084,-11.4605
7912,-14.329
10320,-18.4979
7740,-17.7785
7912,-17.6027
8084,-21.858
10320,-22.4334
7912,-19.4884
7912,-14.9527
8084,-14.8921
6192,-24.7436
7568,-28.6284
6536,-34.2173
1720,-38.6843
1204,-44.7241
172,-39.177
344,-23.0969
860,-25.0538
1032,-21.694
1204,-23.0841
1032,-21.2806
1204,-21.5063
1548,-23.3679
1548,-22.3291
1720,-22.6492
1548,-20.9425
1720,-21.4431
516,-23.9379
172,-27.5696
344,-21.4406
344,-21.932
172,-23.3216
344,-22.5682
172,-24.3456
344,-23.4814
172,-25.3055
344,-24.5787
172,-25.2173
516,-24.2425
516,-25.5668
516,-25.138
516,-25.4716
516,-25.403
344,-24.1349
516,-25.7943
516,-24.6554
516,-25.3799
516,-26.2104
344,-24.6107
344,-26.289
516,-29.0227
344,-27.8731
344,-28.7521
172,-39.7448
172,-41.2121
172,-43.4259
344,-55.7238
0,-56.3566
0,-56.7392
4300,-71.5399
4644,-50.0239
2236,-35.2196
5504,-30.5734
5332,-31.5798
2064,-42.8667
516,-24.8097
516,-24.0467
